4,0x00000037,LUI
4,0x00000017,AUIPC
5,0x0000006F,JAL
1,0x00000067,JALR
3,0x00000063,BEQ
3,0x00001063,BNE
3,0x00004063,BLT
3,0x00005063,BGE
3,0x00006063,BLTU
3,0x00007063,BGEU
1,0x00000003,LB
1,0x00001003,LH
1,0x00002003,LW
1,0x00004003,LBU
1,0x00005003,LHU
2,0x00000023,SB
2,0x00001023,SH
2,0x00002023,SW
1,0x00000013,ADDI
1,0x00002013,SLTI
1,0x00003013,SLTIU
1,0x00004013,XORI
1,0x00006013,ORI
1,0x00007013,ANDI
6,0x00001013,SLLI
6,0x00005013,SRLI
6,0x40005013,SRAI
0,0x00000033,ADD
0,0x40000033,SUB
0,0x00001033,SLL
0,0x00002033,SLT
0,0x00003033,SLTU
0,0x00004033,XOR
0,0x00005033,SRL
0,0x40005033,SRA
0,0x00006033,OR
0,0x00007033,AND
15,0x0000000F,FENCE
16,0x0000100F,FENCE.I
16,0x00000073,ECALL
16,0x00100073,EBREAK
1,0x00001073,CSRRW
1,0x00002073,CSRRS
1,0x00003073,CSRRC
8,0x00005073,CSRRWI
8,0x00006073,CSRRSI
8,0x00007073,CSRRCI
1,0x00006003,LWU
1,0x00003003,LD
2,0x00003023,SD
7,0x00001013,SLLI
7,0x00005013,SRLI
7,0x40005013,SRAI
1,0x0000001B,ADDIW
6,0x0000101B,SLLIW
6,0x0000501B,SRLIW
6,0x4000501B,SRAIW
0,0x0000003B,ADDW
0,0x4000003B,SUBW
0,0x0000103B,SLLW
0,0x0000503B,SRLW
0,0x4000503B,SRAW
0,0x02000033,MUL
0,0x02001033,MULH
0,0x02002033,MULHSU
0,0x02003033,MULHU
0,0x02004033,DIV
0,0x02005033,DIVU
0,0x02006033,REM
0,0x02007033,REMU
0,0x0200003B,MULW
0,0x0200403B,DIVW
0,0x0200503B,DIVUW
0,0x0200603B,REMW
0,0x0200703B,REMUW
9,0x1000202F,LR.W
10,0x1800202F,SC.W
10,0x0800202F,AMOSWAP.W
10,0x0000202F,AMOADD.W
10,0x2000202F,AMOXOR.W
10,0x6000202F,AMOAND.W
10,0x1000202F,AMOOR.W
10,0x8000202F,AMOMIN.W
10,0xA000202F,AMOMAX.W
10,0xC000202F,AMOMINU.W
10,0xE000202F,AMOMAXU.W
9,0x1000302F,LR.D
10,0x1800302F,SC.D
10,0x0800302F,AMOSWAP.D
10,0x0000302F,AMOADD.D
10,0x2000302F,AMOXOR.D
10,0x6000302F,AMOAND.D
10,0x4000302F,AMOOR.D
10,0x8000302F,AMOMIN.D
10,0xA000302F,AMOMAX.D
10,0xC000302F,AMOMINU.D
10,0xE000302F,AMOMAXU.D
1,0x00002007,FLW
2,0x00002027,FSW
11,0x00000043,FMADD.S
11,0x00000047,FMSUB.S
11,0x0000004B,FNMSUB.S
11,0x0000004F,FNMADD.S
12,0x00000053,FADD.S
12,0x08000053,FSUB.S
12,0x10000053,FMUL.S
12,0x18000053,FDIV.S
13,0x58000053,FSQRT.S
0,0x20000053,FSGNJ.S
0,0x20001053,FSGNJN.S
0,0x20002053,FSGNJX.S
0,0x28000053,FMIN.S
0,0x28001053,FMAX.S
13,0xC0000053,FCVT.W.S
13,0xC0100053,FCVT.WU.S
14,0xE0000053,FMV.X.W
0,0xA0002053,FEQ.S
0,0xA0001053,FLT.S
0,0xA0000053,FLE.S
14,0xE0001053,FCLASS.S
13,0xD0000053,FCVT.S.W
13,0xD0100053,FCVT.S.WU
14,0xF0000053,FMV.W.X
14,0xC0200053,FCVT.L.S
14,0xC0300053,FCVT.LU.S
14,0xD0200053,FCVT.S.L
14,0xD0300053,FCVT.S.LU
1,0x00003007,FLD
2,0x00003027,FSD
11,0x02000043,FMADD.D
11,0x02000047,FMSUB.D
11,0x0200004B,FNMSUB.D
11,0x0200004F,FNMADD.D
12,0x02000053,FADD.D
12,0x0A000053,FSUB.D
12,0x12000053,FMUL.D
12,0x1A000053,FDIV.D
13,0x5A000053,FSQRT.D
0,0x22000053,FSGNJ.D
0,0x22001053,FSGNJN.D
0,0x21002053,FSGNJX.D
0,0x2A000053,FMIN.D
0,0x2A001053,FMAX.D
13,0x40100053,FCVT.S.D
13,0x43000053,FCVT.D.S
0,0xA2002053,FEQ.D
0,0xA2001053,FLT.D
0,0xA2000053,FLE.D
14,0xE2001053,FCLASS.D
13,0xC2000053,FCVT.W.D
13,0xC2100053,FCVT.WU.D
13,0xD2000053,FCVT.D.W
13,0xD2100053,FCVT.D.WU
13,0xC2200053,FCVT.L.D
13,0xC2300053,FCVT.LU.D
14,0xE2000053,FMV.X.D
13,0xD2200053,FCVT.D.L
13,0xD2300053,FCVT.D.LU
14,0xF2000053,FMV.D.X
